id,title,price,address,size,energy_label,garden_terrace,image_url,link,provider,date_scraped
1,Bruëlisstraat 9,379500,4421 CL Kapelle (Kapelle),80.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/9cb53e24-5565-5390-9d36-ece8a040d3a1/09cd5d00f12ceb6ddaaccd7c5a7d7a0b.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/kapelle/9cb53e24/bruelisstraat,Pararius,2025-04-29
2,Kerkstraat 33,395000,6095 BD Baexem (Kern Baexem),152.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/6c429da1-19b8-58b1-ac83-c47d4c25a322/fa3bc0e4ee8f5550a0ad6df1daecfb14.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/baexem/6c429da1/kerkstraat,Pararius,2025-04-29
3,Boerweg 24,319000,7683 RV Den Ham (Buurtschap Magele),87.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/7f55bf4f-6c5a-5311-803e-4deb21931402/7601e244ba5035a5308cc9fbe9cb257e.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/den-ham-ov/7f55bf4f/boerweg,Pararius,2025-04-29
4,Smidsstraat 10,225000,4693 CC Poortvliet (Poortvliet),92.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/cb245904-4fa0-5a8c-938a-a01aa6d9cf4a/e51159a4ffd6a7ad432e0129bb309484.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/poortvliet/cb245904/smidsstraat,Pararius,2025-04-29
5,Alexanderpark 205,296000,3253 MX Ouddorp (Ouddorp klepperstee klarebeek),53.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/7f888f65-c529-5d15-975f-42f7385bf4f6/53baa55afe651f59d5ef94751dac0e2b.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/ouddorp/7f888f65/alexanderpark,Pararius,2025-04-29
6,Waver 1,419000,8032 AJ Zwolle (Aa-landen-Zuid),122.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/96f46f5a-b4da-59c5-9fdc-b560868d38e7/5c48e65fe40827fcecc152b3e3fe18de.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/zwolle/96f46f5a/waver,Pararius,2025-04-29
7,Langengriend 22,449000,3343 CL Hendrik-Ido-Ambacht (Krommeweg-Zuid),116.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/263d62c1-1fdb-5f1c-8d9a-644e0ea59ba7/91518e59994517fbd5b978a21a70ad35.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/hendrik-ido-ambacht/263d62c1/langengriend,Pararius,2025-04-29
8,Het Hoogt 147,450000,1025 GV Amsterdam (Buikslotermeer),93.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/2575d682-ff05-5e20-b25f-080956a34ab9/2b21b15286823bfb578441d80b2f6117.jpg?width=600&auto=webp,https://www.pararius.nl/appartement-te-koop/amsterdam/2575d682/het-hoogt,Pararius,2025-04-29
9,Heggewinde 71,235000,8935 PP Leeuwarden (Aldlân-Oost),73.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/15463344-7848-52df-9428-8d935b07206f/a184c12a4de436402d7351ced2354615.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/leeuwarden/15463344/heggewinde,Pararius,2025-04-29
10,Jeroen Boschstraat 58,335000,4532 HN Terneuzen (Noordpolder),105.0,Onbekend,Nee,https://casco-media-prod.global.ssl.fastly.net/93f9724a-597f-5f71-8e1a-9aa530d8c7e5/57aacb59c1b4eb415527f35c857c3d69.jpg?width=600&auto=webp,https://www.pararius.nl/huis-te-koop/terneuzen/93f9724a/jeroen-boschstraat,Pararius,2025-04-29
